scriptures,numbers
"Bible, 1 Ne. 19, 2 Ne. 25, Mosiah 3, Mosiah 1, Mosiah 4, Alma 7, Book of Mormon, Moroni 7, Matt. 16, Luke 10, Philip. 3, D&C 19, D&C 88, D&C 76",225
"Bible, books of Mosiah and Alma, Exodus, Numbers 6, 1 Samuel 15, 1 Chronicles 29, 2 Chronicles 2, 1 Chro, 2 Chro, Ezra 3, Job 23, Psalms, Psalms 9, Psalms 10, Psalms 13, Psalms 16, Psalms 44, Psalms 49, Psalms 74, Psalms 80, Ps. 21, Proverbs 21, Isaiah 25, Isaiah 53, Isaiah 34, Isaiah 57, Isaiah 52, Isaiah 28, Isaiah 6, Je 15, Je 5, Lamentations 5, Lamentations 3, Daniel 6, Amos 1, Habakkuk 1, Habakkuk 3, 1 Ne. 1, Mosiah 1, Alma 27, Alma 22, Book of Mormon, Mormon 9, Mormon 7, New Testament, 1 Corinthians 15, 1 Cor. 15",226
"Job 10, 1 Ne. 8, 2 Ne. 7",227
"No scriptures",228
"No scriptures",229
"No scriptures",230
"No scriptures",231
"No scriptures",232
"New Testament",233
"No scriptures",234
"Book of Mormon, 1 John",235
"No scriptures",236
"Psalms, D&C 25",237
"No scriptures",238
"No scriptures",239
"Book of Mormon, Revelation",240
"No scriptures",241
"No scriptures",242
"Bible, Genesis, Genesis 3, Exodus, Book of Mormon, Ether 12, Moroni 10, 1 Cor. 13, Rev. 13, Rev. 20, Doctrine and Covenants 137, D&C 132, D&C 128, Abr. 1, Facsimile 1, Facsimile 2, Facsimile 3",243
"1 Ne. 16, 1 Ne. 17, 1 Ne. 19, 2 Ne. 5, 2 Ne. 11, Book of Mormon, Matt. 7, 1 Cor. 12",244
"No scriptures",245
"Bible, Leviticus 16, New Testament, Matt. 28, Mark 16, Luke 13, Acts 4, Acts, Acts 2, Rom. 3, Rom. 6, 1 Corinthians 15, Gal. 3, Ephesians, Eph. 4, Col. 1, Hebrews, Heb. 4, 1 Peter, 1 Peter 3, 1 Pet. 3",246
"Isaiah 54, Book of Mormon, Moroni 7, 1 Cor. 13",247
"Bible, Song, Daniel",248
"3 Ne. 11, Book of Mormon, Moroni 7, Matt. 16, Matt. 8, John 4, John 17, 1 Cor. 2, 1 Jn. 4, A of F",249
"Book of Mormon, Revelation, Doctrine and Covenants, D&C 3",250
"Bible, Book of Mormon, Ether 12",251
"Book of Mormon",252
"Daniel 2, Hosea, Amos, D&C 127, D&C 5, D&C 6, D&C 24, D&C 132",253
"4 Nei",254
"Bible, Book of Mormon, New Testament, John 19, Revelation",255
"Book of Mormon",256
"Genesis 14, Neh, 1 Nephi 2, 1 Ne. 16, 1 Ne. 17, 1 Ne. 4, 2 Ne. 9, 2 Ne. 26, 2 Ne. 27, Words of Mormon, Mosiah 1, Mosiah 29, Mosiah 26, Mosiah 27, Alma 1, Alma 10, Alma 17, Alma 8, Alma 9, Alma 5, Alma 12, Alma 13, Alma 4, Alma 45, Alma 14, Alma 36, Helaman, Helaman 8, Helaman 6, 3 Ne. 30, Book of Mormon, Moroni 7, New Testament, 1 Cor. 14, D&C 84, Moses., Moses 6, JST",257
"No scriptures",258
"1 Ne. 11",259
"John 20",260
"Bible, Genesis, Genesis 2, Isaiah 51, Isaiah 2, Isaiah 6, Jer. 31, Ezekiel, Ezek, Ezekiel 36, Ezekiel 4, Amos, Amos 9, Micah, Micah 4, Zechariah 14, 2 Nephi 2, 2 Ne. 8, 2 Ne. 12, New Testament, Rev. 22, Doctrine and Covenants, D&C 29, D&C 93, Moses 7",261
"No scriptures",262
"No scriptures",263
"Book of Mormon, D&C 25",264
"Book of Mormon, D&C 21",265
"Matt. 5, Col. 4",266
"No scriptures",267
"No scriptures",268
"No scriptures",269
"Bible, Book of Mormon, Revelation",270
"No scriptures",271
"Bible, 4 Nev, 4 Nec, Book of Mormon, Acts 19, Revelation",272
"Bible, Genesis 21, Genesis 41, Exodus 14, Exodus 24, Ex. 30, Ex. 14, Ex. 6, Ex. 15, Leviticus., Leviticus 19, Leviticus 4, Leviticus 25, Numbers, Numbers 1, Numbers 35, Deuteronomy 6, Judges, Nehemiah 8, Neh, Psalms, Psalms 20, Isaiah 10, 1 Ne. 10, 1 Ne. 11, 2 Nephi 2, 2 Ne. 1, Mosiah 27, Mosiah 4, Mosiah 3, Mosiah 5, Mosiah 1, Alma 26, 3 Nephi 8, Book of Mormon, New Testament, Matt. 21, Matt. 1, Romans 5, 2 Corinthians 5, Eph. 4, Hebrews 4, Heb., Revelation",273
"No scriptures",274
"Bible, Ex. 22, Leviticus 19, Deuteronomy 18, 1 Samuel 9, 2 Samuel 24, 2 Chr. 9, Jer. 1, Book of Mormon, John 18, Hebrews",275
"Bible, Book of Mormon, Matt. 6, Revelation, Rev., Doctrine and Covenants",276
"Genesis 32, Ruth 1, 1 Samuel 16, 1 Samuel 2, Daniel 3, 1 Ne. 11, 2 Ne. 2, 2 Ne. 26, Jacob 2, Jacob 7, Enos 1, Mosiah 4, Alma 32, Alma 38, Alma 17, Alma 23, Alma 30, 3 Ne. 5, 3 Ne. 3, 4 Ne., Book of Mormon, Moroni 7, Matt. 23, Matt. 16, Matt. 6, Luke 15, D&C 137, D&C 38, D&C 15, D&C 3, Moses 4",277
"Bible, Book of Mormon",278
